,Ticker,UnderlyingPrice,Flags,Type,Strike,Last,Bid,Ask,Volume,OpenInterest,T1OpenInterest,Expires,Data_Date
155119,CRZO,22.28,*,put,15.0,1.5,1.05,1.65,0,32,0,2016-07-15,2016-02-18
155120,CRZO,22.28,*,call,17.5,3.6,6.8,9.4,0,6,0,2016-07-15,2016-02-18
155121,CRZO,22.28,*,put,17.5,2.4,2.0,2.5,0,18,0,2016-07-15,2016-02-18
155122,CRZO,22.28,*,call,20.0,6.4,5.3,7.7,0,7,0,2016-07-15,2016-02-18
155123,CRZO,22.28,*,put,20.0,3.4,2.95,3.6,0,172,0,2016-07-15,2016-02-18
155124,CRZO,22.28,*,call,22.5,5.7,4.3,5.6,0,114,0,2016-07-15,2016-02-18
155125,CRZO,22.28,*,put,22.5,5.1,4.2,4.8,0,31,0,2016-07-15,2016-02-18
155126,CRZO,22.28,*,call,25.0,3.7,3.3,4.7,0,47,0,2016-07-15,2016-02-18
155127,CRZO,22.28,*,put,25.0,5.1,5.6,6.3,0,22,0,2016-07-15,2016-02-18
155128,CRZO,22.28,*,call,27.5,3.7,2.5,3.8,0,13,0,2016-07-15,2016-02-18
155129,CRZO,22.28,*,put,27.5,5.7,7.3,8.0,0,23,0,2016-07-15,2016-02-18
155130,CRZO,22.28,*,call,30.0,3.8,1.8,3.1,0,5,0,2016-07-15,2016-02-18
155131,CRZO,22.28,*,put,30.0,8.5,8.9,10.0,0,46,0,2016-07-15,2016-02-18
155132,CRZO,22.28,*,call,32.5,3.4,1.15,2.55,0,25,0,2016-07-15,2016-02-18
155133,CRZO,22.28,*,put,32.5,10.3,9.3,12.2,0,8,0,2016-07-15,2016-02-18
155134,CRZO,22.28,*,call,35.0,2.1,1.0,2.1,0,201,0,2016-07-15,2016-02-18
155135,CRZO,22.28,*,put,35.0,12.2,11.6,14.4,0,1,0,2016-07-15,2016-02-18
155136,CRZO,22.28,*,call,37.5,1.22,0.65,2.05,0,46,0,2016-07-15,2016-02-18
155137,CRZO,22.28,*,put,37.5,0.0,13.9,16.6,0,0,0,2016-07-15,2016-02-18
155138,CRZO,22.28,*,call,40.0,0.85,0.35,1.25,0,29,0,2016-07-15,2016-02-18
155139,CRZO,22.28,*,put,40.0,18.4,15.9,18.9,0,148,0,2016-07-15,2016-02-18
155140,CRZO,22.28,*,call,42.5,1.0,0.25,1.05,0,94,0,2016-07-15,2016-02-18
155141,CRZO,22.28,*,put,42.5,0.0,18.6,21.3,0,0,0,2016-07-15,2016-02-18
155142,CRZO,22.28,*,call,45.0,0.8,0.2,0.9,0,7,0,2016-07-15,2016-02-18
155143,CRZO,22.28,*,put,45.0,9.6,20.9,23.6,0,24,0,2016-07-15,2016-02-18
155144,CRZO,22.28,*,call,47.5,0.0,0.05,0.75,0,0,0,2016-07-15,2016-02-18
155145,CRZO,22.28,*,put,47.5,0.0,23.2,26.3,0,0,0,2016-07-15,2016-02-18
155146,CRZO,22.28,*,call,50.0,0.0,0.0,0.5,0,0,0,2016-07-15,2016-02-18
155147,CRZO,22.28,*,put,50.0,21.25,25.5,28.5,0,12,0,2016-07-15,2016-02-18
